;1;2;3;4;5;6;7;8;9;10;11;12
A;;;;s1;s1;s1;s2;s2;s2;s3;s3;s3
B;;;;s1;s1;s1;s2;s2;s2;s3;s3;s3
C;;;;s1;s1;s1;s2;s2;s2;s3;s3;s3
D;ctrcell;ctrpp;;s1;s1;s1;s2;s2;s2;s3;s3;s3
E;ctrcell;ctrpp;;s1;s1;s1;s2;s2;s2;s3;s3;s3
F;ctrcell;ctrpp;;s1;s1;s1;s2;s2;s2;s3;s3;s3
G;ctrcell;ctrpp;;s1;s1;s1;s2;s2;s2;s3;s3;s3
H;ctrcell;ctrpp;;s1;s1;s1;s2;s2;s2;s3;s3;s3
